term_id,compact_name,label,comment,domain,range,sub_property_of,type,is_link_type,term_status,version,last_modified
gs1:menuInfo,menuInfo,Menu information,"A link to menu details. This may include food menus, services, or other offerings provided by an organisation or at a location. For details specific to allergens only, see gs1:allergenInfo . For details specific to nutrition information only, see gs1:nutritionalInfo . For details specific to ingredients only, see gs1:ingredientsInfo .",owl:Thing,xsd:anyURI,gs1:linkType,rdf:Property; owl:ObjectProperty,true,stable,1.17,2025-11-18
gs1:messageRecipient,messageRecipient,Message Sender,Identifies the party receiving an electronic message,gs1:Message,gs1:Organization,,rdf:Property; owl:ObjectProperty,false,provisional,1.17,2025-11-18
gs1:messageSender,messageSender,Message Sender,Identifies the party sending an electronic message,gs1:Message,gs1:Organization,,rdf:Property; owl:ObjectProperty,false,provisional,1.17,2025-11-18
gs1:minimumDiscountAmount,minimumDiscountAmount,Minimum Discount Amount,"Links to a gs1:PriceSpecification that indicates in terms of an amount and specified currency, the minimum discount on the sales price associated with a particular gs1:Discount. This property can be used to express 'at least $10 off'.",gs1:Discount,gs1:PriceSpecification,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:minimumDiscountPercentage,minimumDiscountPercentage,Minimum Discount Percentage,A floating-point value indicating a minimum percentage discount on the sales price associated with a particular gs1:Discount. This property can be used to express 'at least 15% discount'.,gs1:Discount,xsd:float,,rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:minimumFishContent,minimumFishContent,Minimum Fish Content,The minimum amount of fish contained in a food and beverage product expressed as a measurement.,gs1:Seafood,gs1:QuantitativeValue,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:minimumMeatPoultryContent,minimumMeatPoultryContent,Minimum Meat Poultry Content,"The minimum amount of fish, meat or poultry contained in a food and beverage product expressed as a measurement.",gs1:MeatPoultry,gs1:QuantitativeValue,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:minimumOptimumConsumptionTemperature,minimumOptimumConsumptionTemperature,Minimum Optimum Consumption Temperature,The lower limit drinking temperature of the optimum range of the drinking temperature. The optimum range of the drinking temperature is a recommendation and is based on the experience of the individual producer. Allows for the representation of the same value in different units of measure but not multiple values.,gs1:FoodAndBeveragePreparationInformation,gs1:QuantitativeValue,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:minimumQualifyingItems,minimumQualifyingItems,Minimum Qualifying Items,Specifies the minimum number of items that must be purchased to qualify for a particular gs1:Discount. This property can be used to express 'if you buy at least N items'.,gs1:Discount,xsd:integer,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:minimumQualifyingSpend,minimumQualifyingSpend,Minimum Qualifying Spend,"Links to a gs1:PriceSpecification that indicates in terms of an amount and specified currency, the minimum spend required to qualify for a particular gs1:Discount. This property can be used to express 'if you spend at least $100'.",gs1:Discount,gs1:PriceSpecification,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:minPrice,minPrice,Minimum Price,Provides a minimum price value as a floating-point numeric value that is qualified by the corresponding currency. See also gs1:priceCurrency,gs1:PriceSpecification,xsd:float,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:molybdenumPerNutrientBasis,molybdenumPerNutrientBasis,Molybdenum Per Nutrient Basis Quantity,Molybdenum per specified nutrient basis quantity.,gs1:FoodBeverageTobaccoProduct,gs1:NutritionMeasurementType,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:monounsaturatedFatPerNutrientBasis,monounsaturatedFatPerNutrientBasis,Monounsaturated Fat Per Nutrient Basis Quantity,Monounsaturated fat per specified nutrient basis quantity.,gs1:FoodBeverageTobaccoProduct,gs1:NutritionMeasurementType,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
